Trial Number All	Trial Number Block	Block Number	"Search Type (1 = unique, 2 = conjunction)"	Peripheral Stimulus	"Target Colour (1 = red, 2 = green, 3 = blue)"	"Distractor Colour (1 = red, 2 = green, 3 = blue)"	"Baseline Colour (1 = red, 2 = green, 3 = blue)"	"Target Frequency (1, 2, 3)"	"Distractor Frequency  (1, 2, 3)"	"Baseline Frequency (1, 2, 3)"	Number of Targets
1	1	1	2	1	1	2	3	1	2	3	0
2	2	1	2	2	1	2	3	1	3	2	1
3	3	1	2	3	1	2	3	2	1	3	2
4	4	1	2	4	1	2	3	2	3	1	0
5	5	1	2	5	1	2	3	3	1	2	1
6	6	1	2	6	1	2	3	3	2	1	2
7	1	2	2	1	2	1	3	1	2	3	0
8	2	2	2	2	2	1	3	1	3	2	1
9	3	2	2	3	2	1	3	2	1	3	2
10	4	2	2	4	2	1	3	2	3	1	0
11	5	2	2	5	2	1	3	3	1	2	1
12	6	2	2	6	2	1	3	3	2	1	2
13	1	3	2	1	3	1	2	1	2	3	0
14	2	3	2	2	3	1	2	1	3	2	1
15	3	3	2	3	3	1	2	2	1	3	2
16	4	3	2	4	3	1	2	2	3	1	0
17	5	3	2	5	3	1	2	3	1	2	1
18	6	3	2	6	3	1	2	3	2	1	2
19	1	4	2	1	1	3	2	1	2	3	0
20	2	4	2	2	1	3	2	1	3	2	1
21	3	4	2	3	1	3	2	2	1	3	2
22	4	4	2	4	1	3	2	2	3	1	0
23	5	4	2	5	1	3	2	3	1	2	1
24	6	4	2	6	1	3	2	3	2	1	2
25	1	5	2	1	2	3	1	1	2	3	0
26	2	5	2	2	2	3	1	1	3	2	1
27	3	5	2	3	2	3	1	2	1	3	2
28	4	5	2	4	2	3	1	2	3	1	0
29	5	5	2	5	2	3	1	3	1	2	1
30	6	5	2	6	2	3	1	3	2	1	2
31	1	6	2	1	3	2	1	1	2	3	0
32	2	6	2	2	3	2	1	1	3	2	1
33	3	6	2	3	3	2	1	2	1	3	2
34	4	6	2	4	3	2	1	2	3	1	0
35	5	6	2	5	3	2	1	3	1	2	1
36	6	6	2	6	3	2	1	3	2	1	2
